GCA_contig_name	SCAF
JALGQA010000259.1	SCAF_259
JALGQA010000026.1	SCAF_26
JALGQA010000260.1	SCAF_260
JALGQA010000261.1	SCAF_261
JALGQA010000262.1	SCAF_262
JALGQA010000263.1	SCAF_263
JALGQA010000264.1	SCAF_264
JALGQA010000265.1	SCAF_265
JALGQA010000266.1	SCAF_266
JALGQA010000267.1	SCAF_267
JALGQA010000268.1	SCAF_268
JALGQA010000269.1	SCAF_269
JALGQA010000027.1	SCAF_27
JALGQA010000270.1	SCAF_270
JALGQA010000271.1	SCAF_271
JALGQA010000272.1	SCAF_272
JALGQA010000273.1	SCAF_273
JALGQA010000274.1	SCAF_274
JALGQA010000275.1	SCAF_275
JALGQA010000276.1	SCAF_276
JALGQA010000277.1	SCAF_277
JALGQA010000278.1	SCAF_278
JALGQA010000279.1	SCAF_279
JALGQA010000028.1	SCAF_28
JALGQA010000280.1	SCAF_280
JALGQA010000281.1	SCAF_281
JALGQA010000282.1	SCAF_282
JALGQA010000283.1	SCAF_283
JALGQA010000284.1	SCAF_284
JALGQA010000285.1	SCAF_285
JALGQA010000286.1	SCAF_286
JALGQA010000287.1	SCAF_287
JALGQA010000288.1	SCAF_288
JALGQA010000289.1	SCAF_289
JALGQA010000029.1	SCAF_29
JALGQA010000290.1	SCAF_290
JALGQA010000291.1	SCAF_291
JALGQA010000292.1	SCAF_292
JALGQA010000293.1	SCAF_293
JALGQA010000294.1	SCAF_294
JALGQA010000295.1	SCAF_295
JALGQA010000296.1	SCAF_296
JALGQA010000297.1	SCAF_297
JALGQA010000298.1	SCAF_298
JALGQA010000299.1	SCAF_299
JALGQA010000003.1	SCAF_3
JALGQA010000030.1	SCAF_30
JALGQA010000300.1	SCAF_300
JALGQA010000301.1	SCAF_301
JALGQA010000302.1	SCAF_302
JALGQA010000303.1	SCAF_303
JALGQA010000304.1	SCAF_304
JALGQA010000305.1	SCAF_305
JALGQA010000306.1	SCAF_306
JALGQA010000307.1	SCAF_307
